index;Dato Numérico;fecha_key;ubicacion_key;regimen_key
625;295.472,00;2;11;1
626;301.437,00;3;11;1
627;309.908,00;8;11;1
628;321.553,00;4;11;1
629;305.491,00;9;11;1
630;971.893,00;5;10;1
631;963.073,00;6;10;1
632;968.487,00;0;10;1
633;964.244,00;1;10;1
634;941.936,00;2;10;1
635;948.737,00;3;10;1
636;955.685,00;8;10;1
637;980.348,00;4;10;1
638;949.724,00;9;10;1
639;802.581,00;5;8;1
640;801.918,00;6;8;1
641;819.401,00;0;8;1
642;834.135,00;1;8;1
643;799.372,00;2;8;1
644;811.168,00;3;8;1
645;831.421,00;8;8;1
646;870.885,00;4;8;1
647;824.413,00;9;8;1
648;1.325.622,00;5;9;1
649;1.313.954,00;6;9;1
650;1.336.833,00;0;9;1
651;1.347.179,00;1;9;1
652;1.298.942,00;2;9;1
653;1.303.978,00;3;9;1
654;1.311.525,00;8;9;1
655;1.322.410,00;4;9;1
656;1.315.710,00;9;9;1
657;929.408,00;5;7;1
658;919.921,00;6;7;1
659;900.293,00;0;7;1
660;908.360,00;1;7;1
661;844.257,00;2;7;1
662;837.695,00;3;7;1
663;840.692,00;8;7;1
664;906.446,00;4;7;1
665;853.131,00;9;7;1
666;63.400,00;5;4;2
667;62.267,00;6;4;2
668;86.999,00;0;4;2
669;94.834,00;1;4;2
670;106.002,00;2;4;2
671;105.786,00;3;4;2
672;103.803,00;8;4;2
673;103.313,00;4;4;2
674;104.367,00;9;4;2
675;12.187,00;5;3;2
676;12.201,00;6;3;2
677;33.634,00;0;3;2
678;35.030,00;1;3;2
679;36.464,00;2;3;2
680;37.477,00;3;3;2
681;36.750,00;8;3;2
682;37.017,00;4;3;2
683;37.314,00;9;3;2
684;35.560,00;5;2;2
685;35.578,00;6;2;2
686;95.026,00;0;2;2
687;104.303,00;1;2;2
688;114.617,00;2;2;2
689;117.249,00;3;2;2
690;136.243,00;8;2;2
691;133.266,00;4;2;2
692;139.677,00;9;2;2
693;12.134,00;5;0;2
694;12.255,00;6;0;2
695;36.803,00;0;0;2
696;39.843,00;1;0;2
697;41.294,00;2;0;2
698;42.574,00;3;0;2
699;41.087,00;8;0;2
700;41.083,00;4;0;2
701;42.508,00;9;0;2
702;17.396,00;5;1;2
703;17.265,00;6;1;2
704;26.316,00;0;1;2
705;27.937,00;1;1;2
706;29.891,00;2;1;2
707;30.247,00;3;1;2
708;29.250,00;8;1;2
709;29.406,00;4;1;2
710;30.143,00;9;1;2
711;4,00;5;35;2
712;4,00;6;35;2
713;15,00;0;35;2
714;15,00;1;35;2
715;27,00;2;35;2
716;26,00;3;35;2
717;24,00;8;35;2
718;26,00;4;35;2
719;25,00;9;35;2
720;36.433,00;5;17;2
721;36.335,00;6;17;2
722;57.161,00;0;17;2
723;67.164,00;1;17;2
724;69.135,00;2;17;2
725;69.576,00;3;17;2
726;68.538,00;8;17;2
727;67.050,00;4;17;2
728;69.695,00;9;17;2
729;5.810,00;5;13;2
730;5.870,00;6;13;2
731;20.669,00;0;13;2
732;21.504,00;1;13;2
733;21.749,00;2;13;2
734;22.217,00;3;13;2
735;21.687,00;8;13;2
736;22.021,00;4;13;2
737;22.138,00;9;13;2
738;46,00;5;14;2
739;47,00;6;14;2
740;557,00;0;14;2
741;590,00;1;14;2
742;554,00;2;14;2
743;565,00;3;14;2
744;542,00;8;14;2
745;553,00;4;14;2
746;564,00;9;14;2
747;16.594,00;5;32;2
748;16.314,00;6;32;2
749;23.597,00;0;32;2
750;25.011,00;1;32;2
751;26.328,00;2;32;2
752;26.682,00;3;32;2
753;25.225,00;8;32;2
754;25.026,00;4;32;2
755;26.386,00;9;32;2
756;23.383,00;5;31;2
757;23.245,00;6;31;2
758;51.475,00;0;31;2
759;54.069,00;1;31;2
760;55.782,00;2;31;2
761;55.723,00;3;31;2
762;59.436,00;8;31;2
763;58.340,00;4;31;2
764;57.228,00;9;31;2
765;3.543,00;5;30;2
766;3.516,00;6;30;2
767;5.208,00;0;30;2
768;5.376,00;1;30;2
769;5.761,00;2;30;2
770;5.863,00;3;30;2
771;5.683,00;8;30;2
772;5.718,00;4;30;2
773;5.805,00;9;30;2
774;1.168,00;5;29;2
775;1.155,00;6;29;2
776;1.675,00;0;29;2
777;1.741,00;1;29;2
778;2.025,00;2;29;2
779;2.073,00;3;29;2
780;2.047,00;8;29;2
781;2.062,00;4;29;2
782;2.081,00;9;29;2
783;3.616,00;5;28;2
784;3.603,00;6;28;2
785;8.117,00;0;28;2
786;8.914,00;1;28;2
787;9.621,00;2;28;2
788;9.946,00;3;28;2
789;9.577,00;8;28;2
790;9.601,00;4;28;2
791;9.904,00;9;28;2
792;4.906,00;5;27;2
793;4.857,00;6;27;2
794;8.876,00;0;27;2
795;9.404,00;1;27;2
796;9.419,00;2;27;2
797;9.599,00;3;27;2
798;9.105,00;8;27;2
799;8.908,00;4;27;2
800;9.456,00;9;27;2
801;510,00;5;26;2
802;500,00;6;26;2
803;667,00;0;26;2
804;713,00;1;26;2
805;934,00;2;26;2
806;981,00;3;26;2
807;961,00;8;26;2
808;949,00;4;26;2
809;988,00;9;26;2
810;1.305,00;5;25;2
811;1.348,00;6;25;2
812;1.759,00;0;25;2
813;1.860,00;1;25;2
814;2.002,00;2;25;2
