index;Dato Numérico;fecha_key;ubicacion_key;causa_key;sexo_key
792;3,00;2;8;8;0
793;0,00;0;9;8;0
794;0,00;1;9;8;0
795;0,00;2;9;8;0
796;0,00;0;10;8;0
797;0,00;1;10;8;0
798;1,00;2;10;8;0
799;0,00;0;11;8;0
800;0,00;1;11;8;0
801;0,00;2;11;8;0
802;0,00;0;12;8;0
803;2,00;1;12;8;0
804;1,00;2;12;8;0
805;0,00;0;13;8;0
806;1,00;1;13;8;0
807;1,00;2;13;8;0
808;0,00;0;14;8;0
809;0,00;0;15;8;0
810;0,00;1;15;8;0
811;0,00;2;15;8;0
812;0,00;0;16;8;0
813;0,00;1;16;8;0
814;0,00;2;16;8;0
815;2,00;0;17;8;0
816;4,00;1;17;8;0
817;0,00;2;17;8;0
818;0,00;0;18;8;0
819;0,00;1;18;8;0
820;0,00;2;18;8;0
821;0,00;0;19;8;0
822;0,00;1;19;8;0
823;0,00;2;19;8;0
824;1,00;0;20;8;0
825;1,00;1;20;8;0
826;0,00;2;20;8;0
827;1,00;0;21;8;0
828;0,00;1;21;8;0
829;1,00;2;21;8;0
830;0,00;0;22;8;0
831;0,00;1;22;8;0
832;1,00;2;22;8;0
833;0,00;0;23;8;0
834;0,00;1;23;8;0
835;0,00;2;23;8;0
836;0,00;0;24;8;0
837;0,00;1;24;8;0
838;0,00;2;24;8;0
839;0,00;0;25;8;0
840;0,00;1;25;8;0
841;1,00;2;25;8;0
842;0,00;0;26;8;0
843;0,00;1;26;8;0
844;0,00;2;26;8;0
845;0,00;0;27;8;0
846;0,00;1;27;8;0
847;1,00;2;27;8;0
848;1,00;0;28;8;0
849;0,00;1;28;8;0
850;1,00;2;28;8;0
851;1,00;0;29;8;0
852;0,00;1;29;8;0
853;0,00;2;29;8;0
854;1,00;0;30;8;0
855;0,00;1;30;8;0
856;1,00;2;30;8;0
857;0,00;0;31;8;0
858;1,00;1;31;8;0
859;4,00;2;31;8;0
860;1,00;0;32;8;0
861;0,00;1;32;8;0
862;4,00;2;32;8;0
863;0,00;1;33;8;0
864;0,00;2;33;8;0
865;0,00;2;34;8;0
866;0,00;0;0;9;0
867;0,00;0;1;9;0
868;0,00;0;2;9;0
869;0,00;0;3;9;0
870;0,00;0;4;9;0
871;0,00;0;5;9;0
872;1,00;0;6;9;0
873;0,00;0;7;9;0
874;1,00;0;8;9;0
875;0,00;0;9;9;0
876;0,00;0;10;9;0
